date,trade_sum_ma5,sanctions_sum_ma5,fed_pressure_sum_ma5
2019-01-02,49.6,1.0,0.0
2019-01-03,49.6,1.0,0.0
2019-01-04,57.6,1.0,0.0
2019-01-05,61.6,1.0,0.0
2019-01-06,46.0,1.0,0.0
2019-01-07,29.0,0.0,0.0
2019-01-08,29.0,0.0,8.0
2019-01-09,37.0,0.0,8.0
2019-01-10,32.0,0.0,8.0
2019-01-11,55.4,0.0,8.0
2019-01-12,55.4,0.0,8.0
2019-01-13,47.4,10.4,0.0
2019-01-14,44.4,13.4,10.0
2019-01-15,40.4,13.4,10.0
2019-01-16,13.0,13.4,10.0
2019-01-17,13.0,13.4,10.0
2019-01-18,31.0,3.0,14.0
2019-01-19,28.0,4.0,4.0
2019-01-20,34.0,4.0,4.0
2019-01-21,59.0,4.0,4.0
2019-01-22,64.0,4.0,4.0
2019-01-23,48.0,18.0,0.0
2019-01-24,40.0,18.0,0.0
2019-01-25,34.0,18.0,0.0
2019-01-26,29.0,18.0,0.0
2019-01-27,28.0,18.0,0.0
2019-01-28,44.0,4.0,0.0
2019-01-29,42.0,0.0,0.0
2019-01-30,50.0,63.2,8.0
2019-01-31,100.0,77.2,8.0
2019-02-01,96.0,77.2,8.0
2019-02-02,78.0,77.2,8.0
2019-02-03,78.0,77.2,8.0
2019-02-04,70.0,14.0,0.0
2019-02-05,4.0,0.0,0.0
2019-02-06,4.0,0.0,0.0
2019-02-07,4.0,0.0,0.0
2019-02-08,4.0,0.0,0.0
2019-02-09,4.0,11.4,0.0
2019-02-10,13.0,11.4,0.0
2019-02-11,13.0,11.4,0.0
2019-02-12,13.0,11.4,0.0
2019-02-13,13.0,11.4,0.0
2019-02-14,13.0,0.0,0.0
